name_en,name_ar,aliases,category,calories_per_100g,protein_grams_per_100g,carbohydrate_grams_per_100g,fat_grams_per_100g,created_by_user_id,source,external_source_id,source_version,is_active,archived_at
"Beverages, OCEAN SPRAY, Cran Pomegranate",,,BEVERAGES,47.0,0.07,12.56,0.01,,USDA_FDC_SR_LEGACY,14255,2018-04,True,
"Beverages, OCEAN SPRAY, Cran Raspberry Juice Drink",,,BEVERAGES,49.0,0.28,11.96,0.0,,USDA_FDC_SR_LEGACY,14233,2018-04,True,
"Beverages, OCEAN SPRAY, Cran-Energy, Cranberry Energy Juice Drink",,,BEVERAGES,15.0,0.0,3.75,0.0,,USDA_FDC_SR_LEGACY,14038,2018-04,True,
"Beverages, OCEAN SPRAY, Cranberry-Apple Juice Drink, bottled",,,BEVERAGES,56.0,0.29,13.68,0.0,,USDA_FDC_SR_LEGACY,14220,2018-04,True,
"Beverages, OCEAN SPRAY, Diet Cran Cherry",,,BEVERAGES,4.0,0.21,0.7,0.0,,USDA_FDC_SR_LEGACY,14235,2018-04,True,
"Beverages, OCEAN SPRAY, Diet Cranberry Juice",,,BEVERAGES,4.0,0.07,0.8,0.0,,USDA_FDC_SR_LEGACY,14221,2018-04,True,
"Beverages, OCEAN SPRAY, Light Cranberry",,,BEVERAGES,19.0,0.22,4.72,0.01,,USDA_FDC_SR_LEGACY,14257,2018-04,True,
"Beverages, OCEAN SPRAY, Light Cranberry and Raspberry Flavored Juice",,,BEVERAGES,26.0,0.73,5.77,0.0,,USDA_FDC_SR_LEGACY,14226,2018-04,True,
"Beverages, OCEAN SPRAY, Light Cranberry, Concord Grape",,,BEVERAGES,23.0,0.36,5.78,0.02,,USDA_FDC_SR_LEGACY,14259,2018-04,True,
"Beverages, OCEAN SPRAY, Ruby Red cranberry",,,BEVERAGES,45.0,0.07,11.58,0.01,,USDA_FDC_SR_LEGACY,14285,2018-04,True,
"Beverages, OCEAN SPRAY, White Cranberry Peach",,,BEVERAGES,45.0,0.13,11.88,0.01,,USDA_FDC_SR_LEGACY,14258,2018-04,True,
"Beverages, OCEAN SPRAY, White Cranberry Strawberry Flavored Juice Drink",,,BEVERAGES,49.0,0.22,11.98,0.01,,USDA_FDC_SR_LEGACY,14227,2018-04,True,
"Beverages, OVALTINE, Classic Malt powder",,,BEVERAGES,372.0,0.0,93.33,0.0,,USDA_FDC_SR_LEGACY,14309,2018-04,True,
"Beverages, OVALTINE, chocolate malt powder",,,BEVERAGES,372.0,0.0,92.96,0.0,,USDA_FDC_SR_LEGACY,14315,2018-04,True,
"Beverages, Orange drink, breakfast type, with juice and pulp, frozen concentrate",,,BEVERAGES,153.0,0.4,39.0,0.0,,USDA_FDC_SR_LEGACY,14426,2018-04,True,
"Beverages, Orange drink, breakfast type, with juice and pulp, frozen concentrate, prepared with water",,,BEVERAGES,45.0,0.12,11.32,0.0,,USDA_FDC_SR_LEGACY,14427,2018-04,True,
"Beverages, Orange juice drink",,,BEVERAGES,54.0,0.2,13.41,0.0,,USDA_FDC_SR_LEGACY,42270,2018-04,True,
"Beverages, Orange juice, light, No pulp",,,BEVERAGES,21.0,0.21,5.42,0.0,,USDA_FDC_SR_LEGACY,14064,2018-04,True,
"Beverages, Orange-flavor drink, breakfast type, low calorie, powder",,,BEVERAGES,217.0,3.6,85.9,0.0,,USDA_FDC_SR_LEGACY,14409,2018-04,True,
"Beverages, Orange-flavor drink, breakfast type, with pulp, frozen concentrate, prepared with water",,,BEVERAGES,49.0,0.03,12.21,0.14,,USDA_FDC_SR_LEGACY,14425,2018-04,True,
"Beverages, Orange-flavor drink, breakfast type, with pulp, frozen concentrate.",,,BEVERAGES,172.0,0.1,42.9,0.5,,USDA_FDC_SR_LEGACY,14424,2018-04,True,
"Beverages, PEPSICO QUAKER, Gatorade G2, low calorie",,,BEVERAGES,8.0,0.05,1.94,0.01,,USDA_FDC_SR_LEGACY,14644,2018-04,True,
"Beverages, PEPSICO QUAKER, Gatorade, G performance O 2, ready-to-drink.",,,BEVERAGES,26.0,0.0,6.43,0.0,,USDA_FDC_SR_LEGACY,14460,2018-04,True,
"Beverages, POWERADE, Zero, Mixed Berry",,,BEVERAGES,0.0,0.0,0.14,0.0,,USDA_FDC_SR_LEGACY,14167,2018-04,True,
